,,distance,mass,radius,Star_name
0,Sun,1,1,1,SDSS J000013.54+255418.6 [de]
1,Sirius,2.1,1.71´,25.4,2MASS J00040288-6410358
2,Canopus,15,71,"13,500",LHS 102BC
3,Alpha Centauri,1.1,1.2,2,2MASS J00242463-0158201
4,Arcturus,1.1,26,170,2MASS J00250365+4759191AB
5,Vega,2.2,2.7,50,2MASS J00274197+0503417
6,Capella,2.6,12,150,2MASS J00275592+2219328
7,Rigel,23,78.9,"120,000",2MASSW J0030300-145033
8,Procyon,1.5,1.9,7.7,2MASS J00332386-1521309 [de]
9,Betelgeuse,20,950,"60,000",2MASS J00345157+0523050
10,Achernar,6.7,9.3,"3,000",2MASS 0036+1821
11,Hadar,10.5,8.6,"42,000",2MASSW J0045214+163445
12,Altair,1.8,1.8,10.5,WISEP J004701.06+680352.1 [fr]
13,Acrux,18,8.9,"25,000",2MASS J00501994-3322402 [de]
14,Aldebaran,1.5,44,520,2MASS J00034227-2822410
15,Antares,12,680,"75,000",2MASS J00584253-0651239 [de]
16,Spica,11.43,7.47,"20,512",CFBDS J005910.90–011401.3
17,Pollux,1.9,8.8,43,2MASSI J0103320+193536
18,Fomalhaut,1.9,1.8,16.6,SDSSp J010752.33+004156.1 [de]
19,Deneb,19,203,"200,000",2MASSI J0117474-340325 [de]
20,Mimosa,16,8.4,"34,000",2MASS J01415823-4633574 [de]
21,Regulus,3.8,3.1,290,SDSS J015141.69+124429.6
22,Adhara,12.5,14,"39,000",DENIS-P J020529.0−115925A
23,Shaula,14.5,8.8,"36,000",DENIS-P J020529.0−115925B
24,Castor,2.8,2.4,30,DENIS-P J020529.0−115925C
25,Gacrux,1.5,84,820,SDSS J020742.48+000056.2 [de]
26,Bellatrix,8.6,5.8,"9,200",2MASS J02103857-3015313
27,Elnath,5.0,4.2,700,2MASS J02340093-6442068
28,Miaplacidus,3.5,6.8,290,2MASS J02411151-0326587 [de]
29,Alnilam,32,42,"380,000",2MASS J02431371−2453298
30,Gamma Velorum,9.0,6,"170,000",LP 771-21
31,Alnair,4.0,3.4,260,2MASS J02511327+0047364
32,Alioth,2.9,4.2,110,Teegarden's star
33,Alnitak,33,20,"120,000",2MASS J02535980+3206373
34,Dubhe,4.25,30,300,WISE J0254+0223
35,Mirfak,8.5,68,"5,000",DEN 0255-4700
36,Wezen,17,200,"82,000",2MASS J03185403-3421292 [de]
37,Sargas,5.7,26,"1,800",2MASS J03205965+1854233
38,Kaus Australis,3.5,6.8,360,2MASS J03231002-4631237
39,Avior,9.0,130,"60,000",SDSS J032553.17+042540.1
40,Alkaid,6.1,3.4,"1,350",2MASS J03264225-2102057 [de]
41,Menkalinan,2.39,2.77,50,2MASS J03284265+2302051 [de]
42,Atria,7,92,"5,500",2MASS J03341218-4953322
43,Alhena,2.8,3.3,120,LP 944-20
44,Peacock,5.9,4.8,"2,200",2MASP J0345432+254023
45,Alsephina[2],2.4,2.9,90,Teide 1
46,Mirzam,13.5,10,"27,000",2MASS J03510004-0052452
47,Polaris,5.4,39,"2,500",2MASS J03552337+1133437
48,Alphard,3.0,50,780,DENIS-P J035726.9-441730 [de]
49,Mintaka,24,16.5,"190,000",2MASS J04151954−0935066
50,Scheat,2.1,95,"1,500",SDSSp J042348.57-041403.5 [de]
51,Almaaz,15,140,"43,000",2MASS J04285096-2253227 [de]
52,Rasalgethi,2.8,280,"8,300",2MASS J04351612-1606574
53,Tau Ceti,0.783,0.893,0.52,2MASS J04362788-4114465
54,Delta Pavonis,0.991,1.22,1.22,2MASS J04390101-2353083 [de]
55,Ran,0.82,0.74,0.34,2MASS J04414489+2301513
56,V382 Carinae,20,485,"212,000",2MASS J04433764+0002040
57,Eta Carinae,100,60–881,"5,000,000",2MASS J04455387-3048204 [de]
58,Delta Cephei,4.5,44.5,"2,000",2MASS J04510093-3402150 [de]
59,Mu Cephei,19.2,972,"135,000",2MASS J05002100+0330501 [de]
60,Titawin,1.27,1.48,3.57,2MASS J05012406-0010452 [de]
61,Rho Cassiopeiae,22,636-981,"347,000 - 530,000",2MASS J05160945-0445499 [de]
62,P Cygni,30,76,"610,000",2MASS J0523−1403
63,La Superba,,129 - 342,"2,472 - 5,800",2MASS 0532+8246
64,VV Cephei,18.2,"516 - 1,050","200,000",SDSS J053951.99-005902.0
65,61 Cygni,0.7,0.665,0.153,2MASS J05591914-1404488 [de]
66,R Doradus,0.7 - 1.0,298,"4,350",LSR 0602+3910 [de]
67,Polaris Australis,1.59,3.74,38,2MASS J06085283-2753583
68,R Coronae Borealis,0.85,85,"10,000",WISEP J061135.13-041024.0A
69,54 Piscium,0.76,0.94,0.52,WISEP J061135.13-041024.0B
70,Mira,1.2,370,"9,000",2MASS J06244595-4521548 [de]
71,RW Cephei,13.9,"1,158","417,000",2MASS J06411840-4322329 [de]
72,Lacaille 8760,0.6,0.51,0.072,DENIS-P J0652197-253450 [de]
73,V838 Monocerotis,?,380 - 750,"15,000",2MASS J07003664+3157266 [de]
74,HD 140283,?,1.4,3.83,2MASS J07075327-4900503
75,II Pegasi,0.8,3.4,1.06,UGPS J072227.51-054031.2
76,VY Canis Majoris,17,"1,420","178,000 - 270,000",2MASSI J0727182+171001 [de]
77,Pistol Star,100,320,"1,700,000",2MASS J07290002-3954043 [de]
78,S Doradus,24,380,"910,000",SDSS J074201.41+205520.5 [de]
79,UY Scuti,7–10,755,"86,300 - 87,100",2MASS J0746425+200032 [fr]
80,Barnard's Star,0.14,0.20,0.0035,DENIS-P J0751164-253043 [de]
81,Luhman 16,0.04,?,?,2MASS J07522390+1612157
82,Proxima Centauri,0.12,0.15,0.0017,DENIS J081730.0-615520
83,KIC 8462852,1.43,1.58,4.68,DENIS J082303.1−491201A
84,R136a1,290,32,"8,710,000",DENIS J082303.1−491201B
85,Melnick 42,189,21.1,"3,600,000",2MASS J08251968+2115521 [de]
86,WR 102,19,0.39,"282,000",SDSSp J083008.12+482847.4 [de]
87,VFTS 352,57.48,14.47,"330,000",LHS 2021
88,YBP 1194,1.01,0.99,0.98,SDSS J083048.80+012831.1 [de]
89,Gliese 1214,0.16,0.21,0.0033,2MASSI J0835425-081923 [de]
90,NML Cygni,50,"1,640 - 2,770","229,000",2MASSI J0847287-153237 [de]
91,VB 10,0.075,0.10,0.0004,2MASS J08533619-0329321
92,WOH G64,<20,"1,540 - 1,730","340-589,000",2MASSI J0859254-194926 [de]
93,TRAPPIST-1,0.089,0.12,0.0005,2MASSW J0920122+351742 [de]
94,2MASS J0523-1403,0.07,0.086,0.00013,2MASSI J0937347+293142
95,WISE 0855−0714,0.003,?,?,2MASS 0939−2448
96,Icarus,33,?,"850,000",2MASS J09490860-1545485 [de]
